director,num_movies,avg_rating,total_votes,popularity_score
Ryan Coogler,4,3.68,3690545,14.72
Ryan Crego,1,3.23,3401,3.23
"Ryan Fleck, Anna Boden",2,3.49,32396,6.98
Ryan Gosling,1,3.1,25659,3.1
Ryan Kruger,1,2.87,7996,2.87
Ryan Murphy,2,2.6799999999999997,94602,5.359999999999999
"Ryan Polito, Jake Szymanski",1,4.26,40445,4.26
Ryan Sage,1,2.97,211,2.97
Ryan Shiraki,1,2.65,1477,2.65
"Ryoji Fujiwara, Yoshiyuki Tomino",1,3.56,10028,3.56
Ryoo Seung-wan,1,3.48,2543,3.48
Ryuichi Hiroki,1,2.44,17962,2.44
Ryuichi Takamori,1,3.13,812,3.13
"Ryuichi Yagi, Takashi Yamazaki",1,3.19,6385,3.19
Ryûhei Kitamura,8,3.07875,99741,24.63
Ryūsuke Hamaguchi,3,4.026666666666667,402935,12.080000000000002
"Rémy Belvaux, André Bonzel",1,3.79,52050,3.79
S. Craig Zahler,1,3.71,78056,3.71
S. S. Rajamouli,1,3.49,36099,3.49
"S.J. Clarkson, Peter Hoar",1,3.01,30914,3.01
Sacha Bennett,1,2.9,851,2.9
Sacha Gervasi,1,2.23,10362,2.23
Sacha Jenkins,1,3.42,1067,3.42
Sally Potter,1,3.89,47888,3.89
Salvador Calvo,1,3.19,2794,3.19
"Sam Fell, Chris Butler",1,3.65,221266,3.65
"Sam Fell, Robert Stevenhagen",1,2.77,33289,2.77
Sam Firstenberg,2,3.0949999999999998,10220,6.1899999999999995
Sam Green,1,3.75,2270,3.75
"Sam Green, Bill Siegel",1,3.63,2172,3.63
Sam Hargrave,1,3.12,263568,3.12
Sam Levinson,3,3.486666666666667,356540,10.46
Sam Liu,12,3.0583333333333336,334355,36.7
"Sam Liu, Christopher Berkeley",1,2.9,16096,2.9
"Sam Liu, Lauren Montgomery",2,3.4450000000000003,72795,6.890000000000001
Sam Mendes,7,3.738571428571429,4057230,26.17
Sam Miller,1,2.55,9288,2.55
Sam Newfield,1,3.07,383,3.07
Sam Peckinpah,6,3.7816666666666667,184819,22.69
Sam Raimi,12,3.466666666666667,7467768,41.6
Sam Taylor-Johnson,2,2.58,393709,5.16
Sam Wanamaker,1,3.16,4539,3.16
Sam Weisman,3,2.8800000000000003,135235,8.64
Sam Wood,1,3.72,4520,3.72
Sam de Jong,1,3.37,1355,3.37
Samantha Stark,1,3.41,44106,3.41
Sammo Hung Kam-Bo,2,3.505,4630,7.01
"Samuel Armstrong, James Algar",1,3.9,235776,3.9
Samuel Fuller,9,3.7266666666666666,90825,33.54
Sanaa Hamri,1,3.03,14370,3.03
Sandi Tan,1,4.01,38459,4.01
Sandor Stern,2,3.255,8295,6.51
Sandy Harbutt,1,3.29,2183,3.29
Sara Dosa,1,4.12,104163,4.12
Sarah Polley,2,3.63,203297,7.26
"Sarah Smith, Jean-Philippe Vine",1,3.31,60546,3.31
Sarik Andreasyan,1,1.93,7978,1.93
Satoshi Kon,3,4.236666666666667,1271704,12.71
Saul Bass,1,3.5,16782,3.5
Saul Dibb,1,3.35,42881,3.35
Saul J. Turell,1,3.18,861,3.18
Savage Steve Holland,3,2.7433333333333336,61706,8.23
Scot Armstrong,1,2.54,3906,2.54
Scott Aukerman,1,2.89,84121,2.89
Scott Barley,1,3.92,6537,3.92
"Scott Beck, Bryan Woods",4,2.705,987595,10.82
Scott Coffey,1,2.93,22662,2.93
Scott Cooper,3,3.323333333333333,231545,9.969999999999999
Scott Derrickson,5,2.952,2994233,14.76
"Scott Devine, J.M. Kenny",1,3.23,1403,3.23
Scott Frank,4,3.6375,902385,14.55
Scott Glosserman,1,3.41,32162,3.41
Scott Hicks,2,3.1399999999999997,55603,6.279999999999999
Scott Kalvert,2,3.1550000000000002,177404,6.3100000000000005
"Scott Mayo, Trey Hill",1,3.46,252,3.46
"Scott Moore, Jon Lucas",1,2.83,132800,2.83
Scott Sanders,1,4.02,65395,4.02
Scott Sidney,1,3.05,476,3.05
Scott Silver,1,2.34,3474,2.34
Scott Spiegel,2,2.7,31933,5.4
Scott Stewart,2,2.5700000000000003,69145,5.140000000000001
Scott Waugh,2,2.435,90354,4.87
Scott Ziehl,2,2.24,3326,4.48
Sean Anders,6,2.8083333333333336,742303,16.85
Sean Baker,7,3.7385714285714284,2839469,26.169999999999998
Sean Branney,1,3.31,2220,3.31
Sean Durkin,1,3.61,49215,3.61
Sean Ellis,4,3.085,83968,12.34
Sean Garrity,1,2.66,2237,2.66
"Sean Hogan, Andrew Parkinson",1,2.57,1209,2.57
Sean McNamara,2,2.545,58218,5.09
Sean Menard,1,3.37,2251,3.37
Sean Penn,5,3.2840000000000003,518081,16.42
Sean S. Cunningham,3,2.766666666666667,391165,8.3
"Sean S. Cunningham, Ken Russell",1,2.75,745,2.75
Sebastian Junger,1,3.5,1712,3.5
Sebastián Cordero,2,3.25,29210,6.5
Sebastián Lelio,2,3.6,156871,7.2
Sebastián Silva,1,3.2,4134,3.2
Seijun Suzuki,6,3.6616666666666666,69445,21.97
Sergei Parajanov,4,3.875,84009,15.5
"Sergei Parajanov, Dodo Abashidze",1,3.81,3757,3.81
Sergey Bondarchuk,3,4.083333333333333,19017,12.25
Sergio Corbucci,24,3.339166666666667,125883,80.14
Sergio Grieco,1,2.84,602,2.84
Sergio Leone,6,4.03,1383081,24.18
Sergio Martino,20,3.154,87316,63.08
Sergio Pablos,1,4.17,454393,4.17
Sergio Pastore,1,3.17,1345,3.17
Sergio Sollima,2,3.605,9140,7.21
Seth Gordon,5,2.898,765887,14.49
Seth Green,4,3.42,17128,13.68
Seth Holt,1,3.11,202,3.11
"Seth Holt, Michael Carreras",1,2.9,3178,2.9
Seth Kearsley,1,2.36,43446,2.36
Seth Larney,1,2.31,6845,2.31
Seth MacFarlane,3,2.7433333333333336,1100765,8.23
"Severin Fiala, Veronika Franz",1,3.37,134454,3.37
Shaka King,1,4.03,299490,4.03
Shana Feste,1,3.14,2677,3.14
Shane Acker,1,3.45,152261,3.45
Shane Black,3,3.5400000000000005,2210670,10.620000000000001
Shane Carruth,2,3.605,189325,7.21
Shane Meadows,3,4.163333333333333,107901,12.489999999999998
Shannon Murphy,1,3.75,78663,3.75
Sharmeen Obaid-Chinoy,1,3.84,1988,3.84
Sharon Bridgeman,1,2.84,2680,2.84
Sharon Maguire,2,3.035,562930,6.07
Shaun Monson,1,3.15,505,3.15
Shawn Levy,9,3.0233333333333334,2805617,27.21
Shekhar Kapur,3,3.3433333333333333,91096,10.03
Shigehiro Ozawa,3,3.2900000000000005,12634,9.870000000000001
Shigeo Tanaka,1,3.01,5421,3.01
"Shih-Ching Tsou, Sean Baker",1,3.8,17649,3.8
Shim Hyung-rae,1,1.81,7511,1.81
Shim Sung-bo,1,3.44,3737,3.44
Shin Jung-won,1,3.05,241,3.05
Shinichi Fukazawa,1,3.35,9061,3.35
Shinichiro Ueda,1,4.06,118375,4.06
Shinichiro Watanabe,1,4.1,76737,4.1
Shinji Aramaki,4,3.05,17172,12.2
Shinji Higuchi,1,2.85,21277,2.85
"Shinji Higuchi, Hideaki Anno",1,3.87,168418,3.87
Shinsuke Sato,1,2.79,10958,2.79
Shintaro Shimosawa,1,2.29,4170,2.29
Shinya Tsukamoto,5,3.7939999999999996,150472,18.97
Shira Piven,1,3.13,15674,3.13
"Shoji Kawamori, Noboru Ishiguro",1,3.87,4204,3.87
Shozin Fukui,1,3.36,18160,3.36
Shuichi Okita,1,3.69,1415,3.69
Shunji Iwai,3,3.9299999999999997,122411,11.79
Shunya Ito,1,3.88,16827,3.88
Shusuke Kaneko,3,3.6966666666666668,26059,11.09
Shūji Terayama,1,4.2,13449,4.2
Sidney Franklin,1,3.19,2068,3.19
"Sidney Hayers, Sigmund Neufeld Jr.",1,3.01,214,3.01
Sidney J. Furie,3,2.75,57133,8.25
Sidney Lumet,13,3.773076923076923,1826841,49.05
Sidney Poitier,2,3.02,15432,6.04
Sidney W. Pink,1,2.8,809,2.8
Simon Cellan Jones,1,3.5,1284,3.5
Simon Curtis,2,3.3200000000000003,64688,6.640000000000001
"Simon Hawkins, Zeke Hawkins",1,3.02,1013,3.02
Simon Klose,1,3.47,3302,3.47
Simon Nuchtern,2,2.8049999999999997,5592,5.609999999999999
Simon Rumley,1,2.86,699,2.86
Simon Staho,1,3.44,766,3.44
Simon Stone,1,3.35,82156,3.35
Simon Verhoeven,1,2.02,22977,2.02
Simon Wells,1,3.51,55791,3.51
Simon West,10,2.662,570356,26.619999999999997
Simon Wincer,5,3.216,109046,16.080000000000002
Sion Sono,5,3.81,178846,19.05
Siân Heder,2,3.5949999999999998,382163,7.1899999999999995
Skott Snider,1,2.78,931,2.78
So Yong Kim,1,3.39,22617,3.39
Sofia Bohdanowicz,1,3.52,619,3.52
Sofia Coppola,8,3.35625,3066961,26.85
Soi Cheang,1,3.53,4317,3.53
Son Jae-gon,1,2.92,3562,2.92
Sonia Anderson,1,2.57,1938,2.57
Sonny Mallhi,1,1.9,2981,1.9
Sophia Takal,1,3.22,10626,3.22
Sophie Dupuis,1,3.44,1144,3.44
Sophie Goodhart,1,3.07,4684,3.07
Sophie Hyde,1,3.23,1478,3.23
Souleymane Cissé,1,3.66,5263,3.66
Spencer Gordon Bennet,1,2.73,1485,2.73
Spencer Parsons,1,2.68,669,2.68
Spencer Susser,1,3.34,21799,3.34
Spike Jonze,5,3.918,2575910,19.59
Spike Lee,15,3.719333333333333,1892547,55.79
Srđan Spasojević,1,1.8,90525,1.8
"St. Vincent, Roxanne Benjamin",1,2.45,19804,2.45
Stacy Davidson,1,2.79,698,2.79
Stacy Peralta,1,3.81,11252,3.81
Stacy Title,1,1.55,50726,1.55
Stan Dragoti,3,2.73,14007,8.19
Stan Lathan,1,3.35,3061,3.35
Stanley Donen,7,3.4528571428571433,265478,24.17
"Stanley Donen, Gene Kelly",2,4.045,463106,8.09
Stanley Kramer,2,3.54,36716,7.08
Stanley Kubrick,11,4.119090909090909,7363804,45.31
Stanley Lewis,1,2.54,1002,2.54
Stanley Nelson,1,3.52,6289,3.52
Stanley Sheff,1,3.11,348,3.11
Stanley Tong Gwai-Lai,2,3.5549999999999997,66720,7.109999999999999
"Steen Johannessen, Feras Fayyad",1,3.76,2976,3.76
Stefan Ruzowitzky,1,2.78,6420,2.78
Stefen Fangmeier,1,1.81,81224,1.81
"Steffen Haars, Flip van der Kuil",2,3.1399999999999997,14020,6.279999999999999
Stella Meghie,2,3.27,13713,6.54
Stellan Rye,1,3.36,3692,3.36
Stelvio Massi,2,3.09,970,6.18
Stephan Rick,1,2.16,2706,2.16
Stephanie Rothman,1,2.97,8616,2.97
"Stephanie Spray, Pacho Velez",1,3.74,1625,3.74
Stephen Biro,1,2.5,1214,2.5
Stephen Chbosky,2,3.75,2353612,7.5
Stephen Chiodo,1,3.34,139692,3.34
Stephen Chow,6,3.426666666666667,302508,20.560000000000002
"Stephen Chow, Lee Lik-Chi",2,3.675,16710,7.35
Stephen Daldry,3,3.4433333333333334,166191,10.33
Stephen Dunn,1,3.57,19787,3.57
Stephen Frears,13,3.25,327932,42.25
Stephen Gaghan,3,2.84,158046,8.52
Stephen Herek,5,3.226,347779,16.13
Stephen Hillenburg,1,3.9,438038,3.9
Stephen Hopkins,6,2.895,197335,17.37
Stephen J. Anderson,1,3.54,305055,3.54
Stephen Kay,1,2.76,886,2.76
Stephen Norrington,2,2.99,373953,5.98
Stephen Poliakoff,1,3.19,1074,3.19
"Stephen Quay, Timothy Quay",1,3.77,2115,3.77
Stephen Ringer,1,3.33,601,3.33
Stephen Sayadian,2,3.51,6315,7.02
Stephen Sommers,3,3.1199999999999997,903233,9.36
"Stephen St. Leger, James Mather",1,2.67,23011,2.67
Stephen Surjik,1,3.14,56797,3.14
Stephen Tyler,1,2.31,1821,2.31
Stephen Weeks,1,2.57,1333,2.57
Stephen Woolley,1,2.88,1045,2.88
Steve Antin,1,3.39,160455,3.39
Steve Barkett,1,2.79,1103,2.79
Steve Barron,4,3.29,117578,13.16
Steve Beck,2,2.55,154926,5.1
"Steve Box, Nick Park",1,3.85,264859,3.85
Steve Boyum,1,2.29,2292,2.29
Steve Buscemi,1,3.25,2778,3.25
Steve Carr,1,2.44,5862,2.44
Steve Carver,4,2.89,11052,11.56
Steve Cohen,1,3.2,536,3.2
Steve De Jarnatt,2,3.39,37561,6.78
Steve Gomer,1,3.16,585,3.16
Steve Gordon,1,3.34,18692,3.34
"Steve Hickner, Brenda Chapman",1,4.04,362308,4.04
"Steve Hickner, Simon J. Smith",1,2.94,530540,2.94
Steve James,2,3.9850000000000003,49153,7.970000000000001
Steve Martino,1,3.61,97843,3.61
"Steve Martino, Jimmy Hayward",1,3.07,211679,3.07
Steve McQueen,3,3.9933333333333336,784280,11.98
Steve Miner,3,2.86,304973,8.58
Steve Mitchell,1,3.59,2166,3.59
Steve Oedekerk,3,3.0966666666666662,253481,9.29
Steve Pink,3,2.61,238057,7.83
Steve Rash,4,2.94,81002,11.76
"Steve Sekely, Paul Henreid",1,3.36,1950,3.36
Steve Shill,2,2.835,25493,5.67
Steve Stark,1,2.14,2498,2.14
Steve Trenbirth,1,2.5,27526,2.5
Steve Williams,1,2.17,50282,2.17
Steven Brill,6,2.433333333333333,444957,14.599999999999998
"Steven Brill, Elizabeth Banks",1,1.65,90975,1.65
Steven Cantor,1,3.74,2164,3.74
Steven Hahn,1,3.02,1345,3.02
Steven J. Santos,1,3.7,914,3.7
Steven Knight,1,3.61,145192,3.61
Steven Kostanski,2,3.225,46474,6.45
"Steven Kostanski, Jeremy Gillespie",1,3.01,80108,3.01
Steven Lisberger,2,2.99,103450,5.98
Steven Okazaki,1,4.12,2136,4.12
Steven Quale,2,2.635,180019,5.27
Steven Robman,1,2.91,826,2.91
Steven Shainberg,1,3.5,173862,3.5
Steven Sheil,1,2.88,2736,2.88
Steven Soderbergh,21,3.392857142857143,3279330,71.25
Steven Spielberg,30,3.609666666666667,14939868,108.29
Stewart Hendler,2,2.185,34337,4.37
Stewart Raffill,8,2.7125,61306,21.7
"Stig Bergqvist, Paul Demeyer",1,3.23,31069,3.23
Stuart Baird,1,2.67,34060,2.67
Stuart Gillard,2,2.795,2887,5.59
Stuart Gordon,5,3.3600000000000003,262522,16.8
Stuart Hazeldine,1,2.91,59140,2.91
Stuart Heisler,1,3.26,652,3.26
Stuart McDonald,1,3.04,2092,3.04
Stuart Murdoch,1,3.31,14242,3.31
Stuart Paton,1,3.1,1000,3.1
Stuart Rosenberg,9,3.286666666666667,173333,29.580000000000005
"Stuart Rosenberg, Alan Smithee",1,3.02,617,3.02
"Stuart Rosenberg, John Huston",1,2.95,902,2.95
Stuart Simpson,1,3.22,514,3.22
"Stuart Walker, Mitchell Leisen",1,3.54,889,3.54
Sunao Katabuchi,1,4.08,32815,4.08
Sunghoo Park,1,3.93,211201,3.93
Susan Johnson,1,3.08,739951,3.08
Susan Lacy,1,3.8,23488,3.8
Susan Seidelman,3,3.3466666666666662,51493,10.04
Susan Streitfeld,1,3.26,1690,3.26
Susan Walter,1,2.83,604,2.83
Susanna Fogel,1,2.67,26749,2.67
Susanne Bier,3,3.4966666666666666,966664,10.49
Susanne Ofteringer,1,3.56,652,3.56
"Suzanne Coote, Matt Angel",1,1.44,51624,1.44
Suzi Yoonessi,2,2.7199999999999998,6806,5.4399999999999995
Sydney Pollack,6,3.346666666666667,206185,20.080000000000002
Sylvain Chomet,1,4.01,53286,4.01
Sylvain White,1,2.79,46322,2.79
Sylvester Stallone,5,3.186,619987,15.93
Sylvio Tabet,1,2.69,2106,2.69
Sébastien Laudenbach,1,3.73,3160,3.73
Søren Kragh-Jacobsen,1,3.44,719,3.44
Tad Stones,1,2.84,44457,2.84
Tadashi Imai,1,3.78,668,3.78
Taika Waititi,4,3.8875,2157324,15.55
"Taika Waititi, Jemaine Clement",1,4.12,521556,4.12
Takao Okawara,1,3.34,12571,3.34
Takashi Anno,1,3.3,480,3.3
Takashi Ishii,1,3.61,638,3.61
Takashi Miike,8,3.465,363634,27.72
Takashi Murakami,1,2.59,1958,2.59
Takashi Nomura,1,3.74,7251,3.74
Takashi Shimizu,4,2.995,229989,11.98
Takashi Yamazaki,1,3.65,17651,3.65
"Takashi Yamazaki, Ryuichi Yagi",2,3.52,16404,7.04
Takeshi Kitano,4,3.75,108831,15.0
Takeshi Koike,1,4.09,62408,4.09
Talal Derki,1,3.75,3652,3.75
Tali Shalom-Ezer,1,3.12,10358,3.12
Tamara Jenkins,3,3.6466666666666665,89679,10.94
Tamra Davis,2,3.35,71322,6.7
Tanya Wexler,1,3.18,26579,3.18
Tara Subkoff,1,1.72,6614,1.72
Tarsem Singh,2,3.475,149135,6.95
Tate Taylor,1,2.19,52085,2.19
Tatiana Huezo,1,3.89,21606,3.89
Tatsuya Oishi,2,4.13,32857,8.26
Tay Garnett,1,3.44,1279,3.44
Taylor Hackford,4,3.39,328152,13.56
Taylor Sheridan,2,3.285,347559,6.57
Taylor Swift,1,4.48,98317,4.48
"Ted Berman, Art Stevens",1,3.69,155017,3.69
Ted Demme,1,3.51,122917,3.51
"Ted Demme, Richard LaGravenese",1,3.71,2038,3.71
Ted Hooker,1,2.84,688,2.84
Ted Kotcheff,2,3.925,270020,7.85
Ted Nicolaou,2,2.965,16910,5.93
Ted Post,2,2.9699999999999998,68183,5.9399999999999995
Ted V. Mikels,3,2.6666666666666665,3094,8.0
Teinosuke Kinugasa,1,3.83,19598,3.83
Terence Davies,1,3.5,9364,3.5
Terence Fisher,5,3.3,55694,16.5
Terence H. Winkless,1,2.88,4302,2.88
Terence Young,3,3.6533333333333338,317301,10.96
Terrence Malick,9,3.658888888888889,860152,32.93
Terry George,1,3.18,11247,3.18
Terry Gilliam,12,3.4441666666666664,1237094,41.33
Terry Jones,4,3.505,413858,14.02
"Terry Jones, Terry Gilliam",1,4.14,521592,4.14
"Terry Lennon, Chuck Jones",1,3.42,2315,3.42
Terry Marcel,1,2.72,3100,2.72
Terry Miles,1,2.48,3338,2.48
"Terry O. Morse, Ishirō Honda",1,2.76,12903,2.76
Terry Zwigoff,2,3.885,213679,7.77
Teruo Ishii,14,3.3200000000000003,20633,46.480000000000004
"Teruo Ishii, Akira Miwa",2,2.8600000000000003,732,5.720000000000001
"Teruo Ishii, Nagayoshi Akasaka",2,2.9699999999999998,797,5.9399999999999995
Tetsuji Takechi,1,3.39,385,3.39
Tetsuro Takeuchi,1,3.57,6223,3.57
Thea Sharrock,2,3.1950000000000003,653213,6.390000000000001
"Theo Angelopoulos, Olivier Assayas",1,3.5,9503,3.5
Theodore Gershuny,2,2.955,6432,5.91
Theodore J. Flicker,1,3.49,2234,3.49
Theodore Melfi,1,3.87,497178,3.87
Thiagarajan Kumararaja,1,3.99,4949,3.99
Thom Eberhardt,2,3.04,34492,6.08
Thom Zimny,1,3.63,1813,3.63
Thomas Bezucha,1,3.09,100612,3.09
Thomas Borch Nielsen,1,2.81,1805,2.81
Thomas Carter,1,3.77,173324,3.77
Thomas Lennon,1,3.5,1016,3.5
Thomas Michael Donnelly,1,2.88,3002,2.88
Thomas Schlamme,1,3.21,42315,3.21
Thomas Vinterberg,2,4.1850000000000005,941016,8.370000000000001
Thor Freudenthal,1,2.14,190431,2.14
"Thorbjørn Christoffersen, Anders Matthesen",1,3.16,5384,3.16
Thorold Dickinson,1,3.22,543,3.22
Ti West,4,3.2375,2829506,12.95
Tibor Takács,1,1.73,2079,1.73
Tim Blake Nelson,1,2.92,2317,2.92
Tim Boggs,1,2.3,1503,2.3
Tim Burton,15,3.420666666666667,6748621,51.31
Tim Chambers,1,3.14,532,3.14
Tim Federle,1,2.76,2964,2.76
Tim Fehlbaum,1,2.92,2776,2.92
"Tim Hetherington, Sebastian Junger",1,3.8,11766,3.8
Tim Hill,1,3.35,31988,3.35
Tim Johnson,1,2.79,195627,2.79
"Tim Johnson, Patrick Gilmore",1,3.48,71147,3.48
Tim Kincaid,2,2.29,3693,4.58
Tim Miller,1,3.68,2085200,3.68
Tim Pope,1,2.4,11498,2.4
Tim Ritter,2,2.925,1900,5.85
Tim Robbins,1,3.74,36776,3.74
Tim Southam,1,2.59,271,2.59
Tim Story,6,2.7133333333333334,467045,16.28
Tim Sullivan,1,2.6,6050,2.6
Tim Van Patten,1,3.98,121223,3.98
Tim Wardle,1,3.71,96297,3.71
Timo Tjahjanto,1,3.6,48329,3.6
Timo Vuorensola,1,2.54,25234,2.54
Timothy Woodward Jr.,1,2.58,431,2.58
Timur Bekmambetov,3,2.9333333333333336,97052,8.8
"Tina Brown, Dyana Winkler",1,3.74,1130,3.74
Tina Mabry,1,3.55,432,3.55
Tinto Brass,2,2.98,24681,5.96
Tito Davison,1,2.91,592,2.91
Toa Fraser,1,2.95,13317,2.95
Tobe Hooper,10,3.072,1063019,30.72
Tod Browning,3,3.6199999999999997,206329,10.86
Todd Berger,2,3.19,8764,6.38
Todd Field,2,3.89,571090,7.78
Todd Haynes,8,3.86,1429027,30.88
Todd Phillips,8,3.185,6100216,25.48
Todd Robinson,1,3.13,6526,3.13
Todd Solondz,3,3.626666666666667,179164,10.88
Todd Strauss-Schulson,1,3.17,90908,3.17
Tom Brady,1,2.68,121512,2.68
Tom Daley,1,2.76,3555,2.76
Tom DeCerchio,1,2.56,4596,2.56
Tom DeSimone,2,2.895,11336,5.79
Tom Dey,2,2.8,197296,5.6
Tom DiCillo,6,3.4033333333333338,50264,20.42
Tom Donahue,2,3.645,6268,7.29
Tom Edmunds,1,3.21,5797,3.21
Tom Ford,2,3.8049999999999997,642089,7.609999999999999
Tom George,1,3.18,243738,3.18
"Tom Gianas, Ross Shuman",1,2.4,4424,2.4
Tom Graeff,1,2.45,2553,2.45
Tom Green,1,2.93,61919,2.93
Tom Gries,1,3.45,1547,3.45
Tom Hanks,2,3.165,93443,6.33
Tom Hanson,1,2.52,2358,2.52
Tom Harper,2,3.785,36193,7.57
Tom Holland,5,2.996,438352,14.98
"Tom Holland, Robert Zemeckis",1,3.2,454,3.2
Tom Hooper,5,3.626,1007430,18.13
Tom Kennedy,1,2.32,1755,2.32
Tom McCarthy,5,3.2979999999999996,618310,16.49
Tom McGrath,2,3.125,1028227,6.25
Tom McLoughlin,1,3.19,93073,3.19
Tom O'Horgan,1,3.13,1177,3.13
"Tom Putnam, Brenna Sanchez",1,3.53,344,3.53
Tom Reeve,1,2.88,763,2.88
Tom Ropelewski,1,2.63,1678,2.63
Tom Shadyac,3,3.296666666666667,695455,9.89
Tom Sheppard,1,3.49,1277,3.49
"Tom Sheppard, Zeb Wells",1,3.42,846,3.42
Tom Six,1,1.89,153807,1.89
Tom Tataranowicz,1,3.33,328,3.33
Tom Tykwer,2,3.7199999999999998,332274,7.4399999999999995
Tom Vaughan,1,2.39,4785,2.39
Tomas Alfredson,3,3.19,380077,9.57
Tomer Shushan,1,3.68,4473,3.68
"Tomm Jacobsen, Michael Rousselet",1,3.34,7279,3.34
Tomm Moore,1,4.23,102564,4.23
"Tomm Moore, Ross Stewart",1,4.21,135273,4.21
Tommy Lee Jones,1,3.39,14713,3.39
Tommy Lee Wallace,3,3.043333333333333,351951,9.129999999999999
Tommy Wirkola,3,3.08,295023,9.24
Tommy Wiseau,1,2.61,223732,2.61
Tomu Uchida,1,4.08,1901,4.08
Tomás Portella,1,2.97,1771,2.97
Tomáš Luňák,1,3.36,1005,3.36
Toni Myers,1,3.52,1060,3.52
Tonino Valerii,1,3.62,6471,3.62
"Tony Bancroft, Barry Cook",1,4.12,858103,4.12
Tony Bill,1,2.93,12666,2.93
Tony Cervone,1,2.27,96389,2.27
Tony Gatlif,1,3.53,429,3.53
Tony Giglio,2,2.545,11493,5.09
Tony Gilroy,1,2.81,107725,2.81
Tony Goldwyn,1,2.83,7926,2.83
"Tony Hadlock, Jason Heppler",1,3.2,489,3.2
Tony Kaye,1,3.87,149461,3.87
Tony Leondis,1,3.1,3772,3.1
Tony Lou Chun-Ku,1,3.83,1823,3.83
Tony Maylam,1,3.13,37050,3.13
Tony Mitchell,1,3.94,805,3.94
Tony Randel,2,3.12,98746,6.24
Tony Richardson,2,3.5,5406,7.0
Tony Scott,15,3.3866666666666663,1956011,50.8
Tony Silver,1,4.03,7775,4.03
Tony Williams,1,3.38,14552,3.38
"Tooru Yoshida, Yasunori Ide",1,3.36,381,3.36
Toshiaki Toyoda,2,3.745,6681,7.49
Toshiya Fujita,2,3.7,66718,7.4
Toshiyuki Kubooka,1,3.96,21267,3.96
Travis Fine,1,3.61,1875,3.61
Travis Knight,2,3.55,550128,7.1
Travis Zariwny,1,1.78,12258,1.78
"Trevor Matthews, Jon Knautz",1,2.76,5707,2.76
Trevor Wall,1,1.41,12969,1.41
Trevor White,2,3.17,9345,6.34
Trey Edward Shults,2,3.54,542595,7.08
Trey Parker,3,3.453333333333333,310874,10.36
Trish Sie,2,2.45,230794,4.9
Tristan Patterson,1,2.94,278,2.94
Troy Duffy,1,3.4,118044,3.4
Trần Anh Hùng,1,3.05,15347,3.05
Tsai Ming-liang,1,3.98,30937,3.98
Tsui Hark,5,3.166,43217,15.83
Tsuneo Kobayashi,1,3.44,30732,3.44
Tulio Demicheli,1,2.61,1111,2.61
Tyler MacIntyre,2,2.955,34108,5.91
Tyler Perry,3,2.6966666666666668,36283,8.09
Tyler Shields,1,2.19,12774,2.19
Tyler Spindel,1,2.19,69035,2.19
Tyler Taormina,1,3.22,5291,3.22
Tylor Norwood,1,3.61,2845,3.61
Tze Chun,1,2.64,2822,2.64
"Ubaldo Ragona, Sidney Salkow",1,3.34,20435,3.34
Ugo Liberatore,1,3.18,420,3.18
Uli Edel,14,3.1035714285714286,207492,43.45
Ulli Lommel,2,2.88,8468,5.76
Ulrike Ottinger,1,3.58,1593,3.58
Ulu Grosbard,1,3.92,11284,3.92
Umberto Lenzi,6,3.061666666666667,19605,18.37
"Ursula Pürrer, A. Hans Scheirl",1,3.27,1174,3.27
Uwe Boll,4,1.8425,29296,7.37
V. JayaShankarr,1,3.14,220,3.14
Vadim Perelman,1,3.57,18444,3.57
Val Guest,2,2.975,5984,5.95
Valdimar Jóhannsson,1,3.12,189347,3.12
Valeria Sarmiento,1,3.05,248,3.05
"Valerie Faris, Jonathan Dayton",2,3.7750000000000004,1554888,7.550000000000001
Vanessa Parise,1,2.48,1182,2.48
Vaughn Stein,1,2.56,33075,2.56
Veena Sud,1,2.28,36741,2.28
Veljko Bulajić,1,3.43,993,3.43
Vera Farmiga,1,3.33,1570,3.33
Vernon Zimmerman,1,3.23,12413,3.23
"Veronika Franz, Severin Fiala",1,3.12,133888,3.12
Vetrimaaran,1,4.06,8132,4.06
Vic Armstrong,1,1.43,18614,1.43
Vicente Aranda,2,3.25,6399,6.5
"Victor Cook, Tad Stones",1,2.44,28007,2.44
Victor Fleming,2,3.9000000000000004,845401,7.800000000000001
Victor Halperin,1,3.12,16851,3.12
Victor Heerman,1,3.66,12973,3.66
Victor Nunez,1,3.47,222,3.47
Victor Salva,2,2.8049999999999997,184667,5.609999999999999
Victor Saville,1,3.13,342,3.13
Victor Schertzinger,1,3.1,1575,3.1
Victor Sjöström,1,4.09,29200,4.09
Vince Gilligan,1,3.57,571608,3.57
Vince Marcello,2,1.565,597568,3.13
"Vincent Gallo, Karim Aïnouz",1,3.29,287,3.29
"Vincent Kok Tak-Chiu, Stephen Chow",1,3.51,2655,3.51
Vincent Maël Cardona,1,3.47,3899,3.47
"Vincent Paronnaud, Marjane Satrapi",1,4.19,171186,4.19
Vincent Sherman,2,3.4450000000000003,3619,6.890000000000001
Vincent Ward,4,3.3875,67172,13.55
Vincente Minnelli,15,3.5453333333333332,207660,53.18
Vincenzo Natali,3,2.723333333333333,467444,8.17
"Virginie Despentes, Coralie Trinh Thi",1,2.67,9109,2.67
