director,num_movies,avg_rating,total_votes,popularity_score
Peyton Reed,6,3.1333333333333333,2820674,18.8
Phil Alden Robinson,3,3.473333333333333,139575,10.42
Phil Day,1,3.64,5868,3.64
Phil Joanou,5,3.218,51698,16.09
Phil Karlson,3,3.063333333333333,7863,9.19
"Phil Lord, Christopher Miller",3,3.5833333333333335,2374848,10.75
Phil Morrison,1,3.53,12606,3.53
Phil Smoot,2,2.59,1426,5.18
Phil Traill,1,2.1,23119,2.1
Phil Tucker,1,2.29,4517,2.29
Philip Brophy,1,2.97,10618,2.97
Philip D'Antoni,1,3.43,6709,3.43
Philip Dunne,1,3.35,230,3.35
Philip Hunt,1,3.59,1022,3.59
Philip Kaufman,3,3.6199999999999997,165032,10.86
Philip Leacock,1,3.03,481,3.03
Philip S. Gilbert,1,2.93,1139,2.93
Philipp Kadelbach,1,4.1,8701,4.1
Philippe Garrel,1,3.58,5980,3.58
Philippe Grandrieux,1,3.64,4147,3.64
Philippe Mora,3,3.03,16937,9.09
Phillip Noyce,7,2.9414285714285713,393906,20.59
Phyllida Lloyd,2,3.36,1372014,6.72
Pier Paolo Pasolini,4,3.6675,224933,14.67
Piero Schivazappa,1,3.69,5189,3.69
Pierre Chevalier,1,2.85,306,2.85
"Pierre Coffin, Chris Renaud",1,3.59,826998,3.59
Pierre Morel,1,2.55,10045,2.55
Pierre Salvadori,2,3.2350000000000003,10735,6.470000000000001
Piers Haggard,2,2.995,18892,5.99
Pietro Francisci,3,2.8833333333333333,1813,8.65
"Pietro Marcello, Francesco Munzi",1,3.58,4323,3.58
Pitof,1,1.56,105985,1.56
Prachya Pinkaew,2,3.1,35180,6.2
Prano Bailey-Bond,1,3.18,70453,3.18
Predrag Antonijević,1,2.69,615,2.69
Prentice Penny,1,3.17,7645,3.17
Preston A. Whitmore II,1,2.58,511,2.58
Preston Sturges,4,3.8875,95455,15.55
Prince,1,4.12,5613,4.12
Pupi Avati,1,3.57,10435,3.57
Quentin Dupieux,2,3.0300000000000002,73282,6.0600000000000005
Quentin Tarantino,10,4.053,15965389,40.53
Questlove,1,4.17,55554,4.17
Quinn Shephard,1,2.84,174281,2.84
R. J. Cutler,3,3.483333333333333,133801,10.45
RaMell Ross,1,3.6,8707,3.6
"Rachel Grady, Heidi Ewing",1,3.52,551,3.52
Rachel Lang,1,3.02,685,3.02
Rachel Lee Goldenberg,1,3.4,67728,3.4
Rachel Talalay,3,2.526666666666667,112540,7.58
Rachel Ward,1,3.36,1141,3.36
Radha Blank,1,3.78,17130,3.78
Radu Jude,11,3.6263636363636365,77450,39.89
"Radu Jude, Christian Ferencz-Flatz",1,3.53,1023,3.53
Radu Mihăileanu,1,3.59,1993,3.59
Radu Muntean,1,3.41,2326,3.41
Rafael Portillo,1,2.97,322,2.97
Rafal Zielinski,2,2.875,3313,5.75
Raine Allen-Miller,1,3.89,142663,3.89
Rainer Werner Fassbinder,5,4.08,115357,20.4
Raj Kapoor,1,3.78,1515,3.78
